Days from Christmas,Year,Day,Date,Trees,Cumulative,Notes,Percent of Year,Day Percent of Year
,2016,postclose,,17,671,,100.00%,2.53%
,2017,preopen,,1,1,,0.15%,0.15%
30,2017,Saturday,11/25/17,66,67,,10.04%,9.90%
29,2017,Sunday,11/26/17,33,100,,14.99%,4.95%
23,2017,Saturday,12/02/17,111,211,,31.63%,16.64%
22,2017,Sunday,12/03/17,110,321,,48.13%,16.49%
16,2017,Saturday,12/09/17,170,491,,73.61%,25.49%
15,2017,Sunday,12/10/17,59,550,,82.46%,8.85%
9,2017,Saturday,12/16/17,71,621,,93.10%,10.64%
8,2017,Sunday,12/17/17,42,663,,99.40%,6.30%
,2017,postclose,,4,667,,100.00%,0.60%
